rank_overall,rating
427,5.6
10,9
272,6.6
370,6
400,5.8
507,4.9
637,2.7
70,8
337,6.2
358,6.1
70,8
480,5.1
324,6.3
52,8.2
358,6.1
60,8.1
480,5.1
52,8.2
145,7.4
192,7.1
60,8.1
164,7.3
70,8
145,7.4
16,8.9
120,7.6
164,7.3
272,6.6
8,9.1
130,7.5
233,6.8
233,6.8
164,7.3
444,5.5
2,9.3
80,7.9
444,5.5
130,7.5
192,7.1
233,6.8
60,8.1
130,7.5
108,7.7
80,7.9
42,8.3
32,8.5
108,7.7
120,7.6
21,8.8
80,7.9
305,6.4
93,7.8
324,6.3
192,7.1
52,8.2
382,5.9
382,5.9
52,8.2
42,8.3
289,6.5
337,6.2
130,7.5
305,6.4
108,7.7
305,6.4
108,7.7
289,6.5
601,3.7
495,5
507,4.9
27,8.6
36,8.4
42,8.3
565,4.3
337,6.2
222,6.9
495,5
623,3.1
549,4.5
16,8.9
649,2.5
671,0
444,5.5
626,3
460,5.3
507,4.9
651,2.3
591,3.9
192,7.1
145,7.4
591,3.9
665,1.4
145,7.4
480,5.1
93,7.8
27,8.6
601,3.7
27,8.6
637,2.7
42,8.3
558,4.4
60,8.1
36,8.4
460,5.3
427,5.6
257,6.7
495,5
36,8.4
586,4
444,5.5
93,7.8
549,4.5
601,3.7
480,5.1
93,7.8
655,2.1
480,5.1
42,8.3
618,3.2
93,7.8
382,5.9
93,7.8
612,3.5
60,8.1
272,6.6
21,8.8
233,6.8
337,6.2
164,7.3
257,6.7
601,3.7
164,7.3
164,7.3
93,7.8
93,7.8
145,7.4
544,4.6
579,4.1
579,4.1
630,2.9
337,6.2
382,5.9
272,6.6
671,0
80,7.9
637,2.7
444,5.5
52,8.2
272,6.6
565,4.3
257,6.7
324,6.3
108,7.7
108,7.7
233,6.8
400,5.8
337,6.2
10,9
558,4.4
1,9.7
586,4
658,2
257,6.7
145,7.4
649,2.5
495,5
108,7.7
427,5.6
427,5.6
632,2.8
21,8.8
60,8.1
400,5.8
612,3.5
337,6.2
10,9
289,6.5
507,4.9
130,7.5
176,7.2
145,7.4
212,7
289,6.5
36,8.4
233,6.8
272,6.6
16,8.9
233,6.8
233,6.8
80,7.9
630,2.9
544,4.6
257,6.7
164,7.3
25,8.7
80,7.9
60,8.1
130,7.5
233,6.8
444,5.5
192,7.1
52,8.2
10,9
10,9
25,8.7
108,7.7
80,7.9
8,9.1
60,8.1
427,5.6
415,5.7
93,7.8
108,7.7
145,7.4
145,7.4
10,9
4,9.2
644,2.6
93,7.8
16,8.9
36,8.4
70,8
80,7.9
130,7.5
212,7
358,6.1
164,7.3
524,4.8
480,5.1
130,7.5
233,6.8
382,5.9
305,6.4
507,4.9
305,6.4
324,6.3
222,6.9
524,4.8
145,7.4
596,3.8
233,6.8
495,5
93,7.8
537,4.7
427,5.6
289,6.5
444,5.5
305,6.4
427,5.6
480,5.1
495,5
427,5.6
653,2.2
617,3.4
358,6.1
93,7.8
192,7.1
176,7.2
120,7.6
382,5.9
192,7.1
444,5.5
382,5.9
145,7.4
272,6.6
415,5.7
257,6.7
596,3.8
507,4.9
42,8.3
671,0
130,7.5
400,5.8
370,6
130,7.5
176,7.2
671,0
601,3.7
257,6.7
233,6.8
632,2.8
337,6.2
653,2.2
120,7.6
480,5.1
337,6.2
586,4
507,4.9
120,7.6
222,6.9
660,1.9
305,6.4
337,6.2
651,2.3
480,5.1
337,6.2
70,8
164,7.3
612,3.5
222,6.9
415,5.7
460,5.3
662,1.7
212,7
305,6.4
558,4.4
192,7.1
382,5.9
289,6.5
176,7.2
324,6.3
632,2.8
305,6.4
507,4.9
549,4.5
427,5.6
544,4.6
145,7.4
272,6.6
473,5.2
400,5.8
192,7.1
176,7.2
596,3.8
324,6.3
537,4.7
324,6.3
337,6.2
233,6.8
544,4.6
608,3.6
176,7.2
192,7.1
2,9.3
565,4.3
574,4.2
444,5.5
427,5.6
192,7.1
460,5.3
289,6.5
400,5.8
626,3
495,5
93,7.8
370,6
176,7.2
222,6.9
618,3.2
272,6.6
289,6.5
120,7.6
324,6.3
637,2.7
623,3.1
524,4.8
460,5.3
608,3.6
537,4.7
382,5.9
233,6.8
70,8
257,6.7
233,6.8
222,6.9
70,8
192,7.1
644,2.6
458,5.4
120,7.6
370,6
400,5.8
400,5.8
558,4.4
480,5.1
93,7.8
574,4.2
130,7.5
644,2.6
579,4.1
176,7.2
164,7.3
382,5.9
549,4.5
400,5.8
120,7.6
80,7.9
382,5.9
32,8.5
145,7.4
370,6
400,5.8
192,7.1
337,6.2
212,7
192,7.1
608,3.6
655,2.1
212,7
480,5.1
164,7.3
164,7.3
460,5.3
370,6
337,6.2
305,6.4
382,5.9
130,7.5
130,7.5
145,7.4
145,7.4
42,8.3
358,6.1
272,6.6
358,6.1
70,8
537,4.7
257,6.7
305,6.4
460,5.3
596,3.8
400,5.8
415,5.7
507,4.9
544,4.6
524,4.8
591,3.9
495,5
176,7.2
289,6.5
415,5.7
669,0.6
415,5.7
233,6.8
233,6.8
80,7.9
612,3.5
427,5.6
480,5.1
337,6.2
120,7.6
42,8.3
305,6.4
623,3.1
108,7.7
145,7.4
60,8.1
289,6.5
130,7.5
222,6.9
4,9.2
42,8.3
212,7
42,8.3
222,6.9
21,8.8
272,6.6
27,8.6
565,4.3
4,9.2
427,5.6
80,7.9
192,7.1
415,5.7
289,6.5
305,6.4
80,7.9
176,7.2
176,7.2
192,7.1
145,7.4
70,8
666,1.1
473,5.2
427,5.6
176,7.2
370,6
370,6
176,7.2
120,7.6
565,4.3
52,8.2
222,6.9
27,8.6
36,8.4
32,8.5
305,6.4
558,4.4
289,6.5
272,6.6
558,4.4
415,5.7
495,5
16,8.9
358,6.1
80,7.9
257,6.7
618,3.2
272,6.6
480,5.1
305,6.4
586,4
666,1.1
507,4.9
586,4
4,9.2
460,5.3
272,6.6
358,6.1
305,6.4
257,6.7
130,7.5
324,6.3
257,6.7
565,4.3
460,5.3
427,5.6
145,7.4
524,4.8
565,4.3
192,7.1
460,5.3
473,5.2
176,7.2
579,4.1
473,5.2
537,4.7
444,5.5
637,2.7
108,7.7
233,6.8
460,5.3
32,8.5
272,6.6
60,8.1
579,4.1
524,4.8
574,4.2
549,4.5
192,7.1
524,4.8
415,5.7
473,5.2
337,6.2
257,6.7
524,4.8
289,6.5
324,6.3
664,1.5
400,5.8
233,6.8
507,4.9
415,5.7
233,6.8
93,7.8
305,6.4
337,6.2
400,5.8
324,6.3
358,6.1
618,3.2
370,6
444,5.5
337,6.2
458,5.4
507,4.9
233,6.8
524,4.8
212,7
427,5.6
233,6.8
212,7
212,7
524,4.8
415,5.7
257,6.7
644,2.6
324,6.3
305,6.4
358,6.1
507,4.9
507,4.9
608,3.6
192,7.1
222,6.9
507,4.9
145,7.4
637,2.7
537,4.7
212,7
558,4.4
637,2.7
289,6.5
661,1.8
370,6
70,8
382,5.9
495,5
382,5.9
655,2.1
444,5.5
626,3
666,1.1
272,6.6
400,5.8
670,0.4
507,4.9
233,6.8
427,5.6
460,5.3
337,6.2
662,1.7
358,6.1
524,4.8
644,2.6
400,5.8
473,5.2
289,6.5
460,5.3
480,5.1
176,7.2
358,6.1
549,4.5
524,4.8
427,5.6
549,4.5
658,2
289,6.5
382,5.9
632,2.8
382,5.9
618,3.2
495,5
537,4.7
324,6.3
632,2.8
591,3.9
626,3
370,6
549,4.5
574,4.2
415,5.7
444,5.5
52,8.2
507,4.9
671,0
337,6.2
370,6
601,3.7
671,0
337,6.2
549,4.5
305,6.4
596,3.8
108,7.7
222,6.9
565,4.3
480,5.1
272,6.6
444,5.5
579,4.1
192,7.1
524,4.8
473,5.2
382,5.9
382,5.9
574,4.2
233,6.8
579,4.1
612,3.5
176,7.2
495,5
565,4.3
257,6.7
591,3.9
601,3.7
