school,esl,special_needs,eqao_academic,eqao_applied,osslt_first,osslt_retake,tests_below,rating,rank_overall,rank_tdsb
Agincourt,14.8,15,3.2,2.4,90.6,56.3,16.1,7.7,104,15
Albert Campbell,31.1,14.3,3.1,2.2,84.3,57.6,21.9,6.8,259,29
Birchmount Park,7.6,34.5,2.2,1.9,64.2,51.1,44.3,4.0,647,54
Bloor,3.9,24.6,3.3,3.0,89.4,90.0,7.8,9.0,6,1
C W Jefferys,14.0,19.8,2.8,2.1,64.0,21.7,34.1,4.9,572,43
Cedarbrae,11.3,24,2.3,1.8,69.0,39.2,51.8,2.9,699,64
Central,28.8,42.6,2.3,1.7,50.0,34.1,58.2,2.3,712,66
Central Commerce,49.1,22.1,2.3,2.1,57.5,42.6,52.2,3.1,692,61
Danforth,0.7,56.4,2.8,1.4,68.0,36.2,40.5,4.5,612,52
David and Mary Thomson,14.5,20.9,2.5,1.8,71.4,40.5,44.1,4.0,647,54
Don Mills,17.9,15.2,3.1,2.4,86.7,56.5,20.8,7.1,201,23
Downsview,39.8,35.2,2.0,1.3,39.2,25.0,63.3,2.3,712,66
Dr Norman Bethune,28.2,9.9,3.2,3.0,88.2,32.4,15.2,7.7,104,15
Earl Haig,30.7,6.9,3.1,3.0,91.9,68.3,10.5,8.7,20,3
East York,14.4,27.4,2.5,2.2,71.7,47.6,38.2,5.0,562,42
Emery,30.2,27.6,2.0,1.3,64.6,31.8,63.9,1.4,726,68
�tienne-Br�l�,,,3.2,2.6,96.8,,8.1,7.8,88,13
Etobicoke,3.9,20.7,3.2,2.4,86.6,50.0,16.9,7.8,88,13
Etobicoke School of the Arts,0.0,18.3,3.0,3.1,96.6,75.0,8.2,8.3,42,9
Forest Hill,32.6,9,3.1,3.3,91.2,73.5,12.0,8.2,50,10
George Harvey,38.5,21,2.3,1.5,66.1,39.0,59.4,3.4,684,60
George S Henry,48.1,19.8,2.7,1.7,56.3,44.8,50.0,3.6,671,59
Harbord,5.4,25.1,3.0,2.5,90.3,66.7,15.5,7.4,151,19
Humberside,0.0,8.6,3.0,2.4,95.3,75.0,11.2,8.1,57,11
Jarvis,15.6,11.4,2.7,1.7,78.1,46.3,34.4,4.9,572,43
John Polanyi,42.9,18.5,2.4,1.7,75.3,47.3,42.9,4.7,591,48
Kipling,29.1,18.2,2.4,1.5,53.6,46.4,56.6,2.8,702,65
L�Amoreaux,45.2,20.7,3.1,2.1,74.0,57.3,33.1,5.9,420,34
Lakeshore,12.7,41.8,2.4,2.2,66.4,47.8,46.1,3.9,653,56
Lawrence Park,0.6,12.2,3.0,2.8,96.8,89.5,5.1,8.7,20,3
Leaside,0.0,10.9,2.8,,98.3,93.5,6.7,8.6,27,5
Lester B Pearson,2.6,23.6,2.9,2.1,73.0,45.2,32.3,5.1,544,40
Malvern,0.6,12.9,3.0,2.8,96.7,73.1,7.8,8.5,30,6
Marc Garneau,30.6,15.9,3.1,2.8,80.9,45.0,25.7,6.9,243,27
Martingrove,10.1,15.9,3.2,2.5,87.5,50.0,18.6,7.3,164,21
Monarch Park,19.7,28.9,2.9,3.0,81.7,50.7,25.8,6.4,334,31
Newtonbrook,57.5,10.9,2.7,2.2,66.4,45.1,40.7,5.1,544,40
North Albion,16.9,24.8,2.7,1.5,71.2,41.1,40.5,4.9,572,43
North Toronto,2.5,16.1,3.1,2.2,97.2,87.9,8.7,8.4,35,8
Northern,1.9,29.5,3.0,2.1,91.1,52.9,16.9,7.5,135,17
Northview Heights,32.1,18.2,3.1,2.2,84.9,61.7,19.6,7.5,135,17
Oakwood,3.6,41,2.5,1.4,69.9,36.8,45.7,3.7,665,58
Parkdale,31.8,21.4,2.7,1.6,86.1,51.1,27.6,6.2,371,33
R H King,3.0,16.5,3.1,2.4,86.4,57.1,19.9,6.9,243,27
Richview,0.4,9.8,3.0,3.0,95.8,84.6,11.6,7.9,72,12
Riverdale,4.9,23.2,2.9,2.2,83.0,63.6,19.6,7.1,201,23
Rosedale Heights School of the Arts,0.4,17.2,2.9,2.7,96.8,84.2,16.2,7.1,201,23
Runnymede,1.9,26.3,2.3,1.4,63.3,50.0,36.9,4.4,615,53
Scarlett Heights Entrepreneurial,6.5,22.8,2.3,1.1,50.0,27.8,57.6,1.4,726,69
Silverthorn,11.3,19.6,2.9,2.3,79.6,39.6,28.2,5.7,462,35
Sir John A Macdonald,19.0,18.4,2.8,2.3,84.6,53.2,20.1,7.1,201,23
Sir Oliver Mowat,0.6,24.1,2.8,2.0,81.7,52.8,28.6,5.6,479,36
Sir Wilfrid Laurier,5.1,21.8,2.8,1.6,69.9,41.0,37.2,4.9,572,43
Stephen Leacock,42.9,23.1,2.9,2.5,74.3,49.0,34.1,5.6,479,36
Thistletown,8.4,31.6,2.8,1.9,61.5,45.6,50.2,3.1,692,61
Toronto Ouest,,,3.2,,87.5,,25.4,4.9,572,43
Ursula Franklin,,,3.1,,99.3,,3.6,8.9,12,2
Vaughan Road,18.8,19.8,2.6,0.8,84.9,28.6,34.1,5.5,493,38
Victoria Park,17.9,17,3.2,2.0,84.1,50.8,20.4,7.4,151,19
W A Porter,4.3,14.3,3.1,1.9,85.2,60.0,16.5,7.3,164,21
West Hill,15.8,25.9,2.2,1.7,75.6,41.8,45.5,3.8,660,57
West Humber,7.3,28.7,2.9,2.5,75.8,50.0,27.4,6.3,358,32
Western,14.9,32.2,2.9,2.0,72.6,39.2,39.1,4.7,591,48
Weston,14.2,27.9,2.3,1.4,69.5,30.9,46.7,3.1,692,61
Westview Centennial,15.9,33.9,2.4,1.8,45.9,21.8,62.2,0.2,733,70
Wexford Collegiate School for the Arts,5.2,25.3,2.5,2.6,78.0,54.5,31.0,5.3,517,39
William Lyon Mackenzie,25.4,14.9,3.3,2.9,93.1,80.6,12.2,8.5,30,6
Winston Churchill,7.2,25.6,2.7,2.1,57.7,40.0,42.8,4.6,602,51
Woburn,9.8,15.9,2.9,2.1,80.9,58.5,23.3,6.5,318,30
York Memorial,1.8,18.5,2.6,1.7,78.2,44.7,36.1,4.7,591,48
